#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sunstrider;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;;x
sunstrider_desc;A noble house coming from the Highborne before the Great Sundering, and founders of the High Elven civilization, they rule over Quel'thalas for many milenia.;;;;;;;;;;;;;;x
aliancefounder;Patrons of the Alliance;;;;;;;;;;;;;x
aliancefounder_desc; Creators of the Alliance uniting kingdoms to battle the Horde, making their lineage one of the most prestigious and respected in the human realms.;;;;;;;;;;;;;;x
trollbane;Blood of Trollbanes;;;;;;;;;;;;;;x
trollbane_desc;the Arathi General Ignaeus Trollbane, one of the heroes of the Troll Wars, the Trollbanes would with time come to power on Strom and be its kings.;;;;;;;;;;;;;;x
whisperwind;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;;x
whisperwind_desc;Tyrande Whisperwind, rose to High Priestess of the Moon in the great War of the Ancients, where she played a pivotal role against the burning legion..;;;;;;;;;;;;;;x
ysera;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;;x
ysera_desc;Ysera, the Aspect of Dreams, Blessed by the Titan Eonar to watch over the growing wilds and nature from the Emerald Dream. Known as the Dreamer.;;;;;;;;;;;;;;x
alextrasza;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
alextrasza_desc; Alextrasza, Aspect of Life, Blessed by the Titan Eonar to safeguard all living creatures within the world. Known as the Life-Binder and Dragon Queen.;;;;;;;;;;;;;;x
malygos;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
malygos_desc;Malygos, the Aspect of Magic, Blessed by the Titan Norgannon to be the guardian of magic and hidden arcanum. Known as the Spell-Weaver;;;;;;;;;;;;;;x
nozdormu;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
nozdormu_desc; Nozdormu, blessed by the Titan Aman'Thul to guard time itself and police the ever-spinning pathways of fate and destiny. Known as the Timeless One;;;;;;;;;;;;;;x
guardian;Line of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
guardian_desc; Guardian of Tirisfal, created uniting power of powerful mages, the Council of Tirisfal, into a single person to safeguard Azeroth against invaders.;;;;;;;;;;;;;;x
guldan;Felblood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
guldan_desc;Gul'Dan was a powerful Warlock, sold his people to be slaves for demons for the sake of becoming powerful, utilizing bribes and blackmail to control the Horde.;;;;;;;;;;;;;;x
blackhand;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
blackhand_desc;Direct, Agresive, wroth and ambitious, stopping at nothing in his search of conquest, the first to sacrifice his shamans for his role of Warchief given to him by Gul'Dan.;;;;;;;;;;;;;x
windrunner;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
windrunner_desc;First Ranger-general of Quel'Thalas, wielded the bow Thas'alah after proving his valor with the bow, capable of felling an troll as soon as it came in sight.;;;;;;;;;;;;;x
hellscream;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;;x
hellscream_desc; Grommash Hellscream, Warlord of the Warsong, known for his ferociousness in combat and unrelenting will, first to take the demonblood offered by Gul'Dan.;;;;;;;;;;;;;;x
illidan;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
illidan_desc; Illidan Stormrage, known as the Betrayer for the making of the second Well of Eternity and for his ambitious ways in search of power.;;;;;;;;;;;;;;x
malfurion;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
malfurion_desc;Malfurion Stormrage, the best pupil of the Forest Lord Cenarius, railed the druids in the formation of the Cenarion Circle to protect the nature and the Emerald Dream.;;;;;;;;;;;;;x
ashbringr;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
ashbringr_desc;the Legendary Ashbringer, a Paladin that wielded the legendary sword Ashbringer, said to be able to cut a horde of undead with a single stroke.;;;;;;;;;;;;;;x
scourgebane;Blood of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
scourgebane_desc;Scourgebane, the valiant crusader against the undead, it his role in ending the Scourge that brought peace to Azeroth. ;;;;;;;;;;;;;;x
ursocc;Blood of Ursoc;;;;;;;;;;;;;;x
ursocc_desc;Ursoc is an Ancient Guardian, one of the demigods, first among the living creatures to roam Azeroth. Worshiped by the furbolgs, especially warrior and hunters;;;;;;;;;;;;;;x
ursol;Blood of Ursol;;;;;;;;;;;;;;x
ursol_desc;Ursol is an Ancient Guardian, one of the demigods, first among the living creatures to roam Azeroth. Worshiped by the furbolgs, especially shammans and druids.;;;;;;;;;;;;;;x
aviana;Blood of Aviana;;;;;;;;;;;;;;x
aviana_desc;Aviana is an Ancient Guardian, one of the demigods that were among the first living creatures to roam Azeroth. Worshiped by the harpies and druids of the talon.;;;;;;;;;;;;;;x
bronzebeards;Line of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
bronzebeards_desc;The traditional defenders of Ironforge, they held close ties to the last dwarven High King and rule over Ironforge for centuries.;;;;;;;;;;;;;;x
wildhammers;Line of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
wildhammers_desc;Driven from their ancient home of Ironforge and then Grimbatol, they came to bond with nature and gryphons on their new land of Aerie Peak.;;;;;;;;;;;;;x
thaurissans;Line of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
thaurissans_desc; Ambitious and Knowledgeable, they fought bitterlly against their dwarven cousins, making a terrible pact with Ancient Powers that would control them.;;;;;;;;;;;;;x
anvilmar;Line of [This.GetFirstNameWithNick];;;;;;;;;;;;;x
anvilmar_desc;High Kings of all dwarfs, the Anvilmar were known for their just and wise rule over all the Clans, they were able to manage all disputes with diplomacy between the clans..;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
